1635513;971718	5;1609388860
11878;176909223	5;1663139753
1635513;49722651	5;1606026939
1635513;157255753	5;1644287435
1635513;67271339	5;1608880235
1635513;63473608	5;1608877421
1635513;72102027	5;1610784818
11878;167210784	5;1649306378
1635513;45902242	5;1597907421
1635513;73125817	5;1639027147
1635513;8886000	5;1610780627
1635513;238688	5;1606026918
1635513;81437587	5;1640059154
1635513;76175425	5;1625205639
1635513;3718337	5;1597907411
1635513;32490133	5;1615094689
1635513;117238178	5;1640059165
1635513;125528588	5;1634620420
1635513;148760919	5;1641783207
11878;148760919	5;1641120358
1635513;90679277	5;1638504229
1635513;50668887	5;1621049536
1635513;22725675	5;1603600047
1635513;50269974	5;1613445862
1635513;153902	5;1643875065
1635513;59362974	5;1621049539
11878;148761078	5;1641954392
1635513;148761078	5;1641783197
1635513;145288030	5;1640059157
11878;186290803	5;1656389580
1635513;8886006	5;1641100629
1635513;74021318	5;1619095727
1635513;87959749	5;1640059162
1635513;8886008	5;1596550156
1635513;76278486	5;1623127534
1635513;149089471	5;1641783164
1635513;14053725	5;1634620433
11878;171549989	5;1649306367
1635513;2127249	5;1641100621
1635513;36854642	5;1600300425
1635513;69764542	5;1606124581
1635513;57761619	5;1623037975
1635513;117254521	5;1643875057
1635513;641942	5;1637669331
1635513;42230122	5;1598597486
1635513;238701	5;1606026952
1635513;57870427	5;1623063362
1635513;50414369	5;1623037979
1635513;50414369	5;1623037979
1635513;52789368	5;1644288699
1635513;238695	5;1604398936
1635513;12377499	5;1634620430
1635513;38223396	5;1609168691
1635513;189350065	5;1658545300
1635513;21031781	5;1613445854
1635513;3738175	5;1639211672
1635513;15267828	5;1635157192
1635513;147920904	5;1640059148
8316515;196284533	5;1633337385
8316515;195336651	5;1665538620
8316515;195336651	5;1665538620
8316515;127660740	5;1583317949
8316515;127660740	5;1583317949
8316515;96301083	5;1642480987
19763709;22095576	5;1636018567
19763709;22095576	5;1636018567
8316515;22095572	5;1617756742
19763709;152447573	5;1636967223
19763709;152447573	5;1636967223
8316515;73124604	5;1605504304
8316515;57867025	5;1654570236
8316515;10227149	5;1700968294
8316515;10227149	5;1700968294
19763709;34471557	5;1634035139
19763709;34471557	5;1634035139
8316515;65032427	4;1635154301
8316515;68370676	5;1708906067
8316515;38438032	5;1594997399
19763709;11357194	5;1636203678
19763709;11357194	5;1636203678
19763709;68585577	5;1616491926
19763709;104074994	5;1635575873
19763709;104074994	5;1635575873
19763709;110448023	5;1629201685
19763709;110448023	5;1629201685
19763709;85396164	5;1636687028
19763709;85396164	5;1636687028
8316515;85396164	5;1706753967
19763709;145288028	5;1641144183
19763709;145288028	5;1641144183
19763709;90643155	5;1636280060
19763709;90643155	5;1636280060
19763709;120509492	5;1639578547
19763709;120509492	5;1639578547
19763709;94173463	5;1636280107
19763709;49317817	5;1636432238
19763709;49317817	5;1636432238
19763709;73787186	5;1617174403
8316515;152740749	5;1664011784
8316515;13419679	5;1664335210
19763709;176909239	5;1657473017
19763709;176909239	5;1657473017
8316515;52788073	5;1676767207
8316515;184466861	5;1695731960
19763709;56454898	5;1631766191
19763709;56454898	5;1631766191
19763709;73523598	5;1639383306
19763709;149534866	5;1641291431
19763709;149534866	5;1641291431
19763709;72542476	5;1610525253
8316515;55605173	5;1606814209
