8225048;968153	3;1585480022
8225048;188019140	3;1636004532
8225048;28287069	3;1623307032
8225048;98276145	1;1625894159
8225048;77105811	2;1635734936
8225048;112733081	3;1655349838
1997229;57762733	3;1615809201
1997229;26114400	3;1608896747
1997229;90056908	2;1629968846
1997229;750581	2;1543832330
8225048;52329862	2;1651715445
8225048;143186002	2;1649774451
8225048;90643155	3;1623907984
1997229;49317817	1;1663055087
8225048;39001	2;1534708065
1997229;73787186	2;1635133642
1997229;90622655	3;1633159692
1997229;77900447	1;1634263267
8225048;72882555	2;1625171715
8225048;127522207	1;1628137043
1997229;153518829	1;1642595776
8225048;142675356	3;1651543174
8225048;72542510	3;1611664900
1997229;72459687	3;1633250426
1997229;139303870	3;1697729910
1997229;238688	2;1586424890
8225048;151994937	1;1642488097
8225048;3718337	3;1550507629
1997229;125528588	3;1667148935
8225048;86517374	2;1666508320
1997229;50751280	3;1602933255
1997229;109017987	1;1643334702
1997229;74021318	3;1647502982
1997229;74021318	3;1627374556
1997229;71345382	2;1633853495
8225048;1667625	1;1703307822
8225048;72680633	3;1616991965
8225048;3955615	3;1605081379
1997229;121635153	3;1635330701
8225048;7833729	3;1583634836
1997229;7833729	3;1611461940
1997229;46789756	1;1651539214
8225048;106863964	2;1642651577
8225048;52334805	3;1643662551
8225048;49747008	2;1636802446
8225048;174842859	3;1705992071
15439758;71141571	3;1601653528
17705466;9835039	3;1555636772
17705466;73550820	3;1609308676
15439758;5856837	2;1634637385
15439758;21927345	1;1564725274
15439758;43994337	3;1610786612
15439758;1091712	1;1606487364
17705466;127654631	1;1559833108
15439758;7250677	3;1608815558
15439758;7115417	3;1631431862
15439758;14387867	3;1543330913
17705466;152447526	2;1583149721
17705466;2241937	1;1620793329
15439758;102818485	2;1562806179
15439758;3480335	1;1644232078
15439758;3480335	2;1570691079
17705466;105591	3;1593783936
17705466;57588482	3;1601902957
17705466;6774375	3;1636893776
15439758;6774375	1;1587349100
17705466;195919119	1;1526021441
17705466;152447540	1;1565926946
15439758;272864	3;1522912332
17705466;272864	1;1595730826
17705466;2393141	1;1607623266
15439758;6772417	3;1605701786
17705466;92969	1;1615001409
15439758;31502013	3;1637643206
15439758;4701561	2;1605097302
17705466;2138527	3;1607652194
17705466;57867026	3;1641263476
15439758;56880197	3;1602249661
17705466;134853383	2;1663370979
15439758;35905856	1;1693737827
15439758;579868	3;1598022505
15439758;1025034	3;1521627241
17705466;782921	2;1558402270
15439758;2130485	3;1648432540
17705466;2130485	2;1527820255
17705466;175952	2;1594722369
15439758;90370065	1;1597916218
15439758;2603985	3;1562226448
17705466;95269418	1;1647169055
15439758;88949151	1;1657341777
15439758;65032427	1;1637510192
15439758;188019140	3;1635139188
15439758;67316910	3;1606487688
15439758;111304925	3;1638497710
15439758;116407425	3;1680088013
15439758;1745249	3;1608687786
15439758;28287069	2;1644913212
15439758;28287069	1;1623749940
15439758;116410120	2;1657608552
17705466;309744	1;1708134738
15439758;147058066	3;1660650902
15439758;57762733	3;1605055150
15439758;186265458	3;1665200677
15439758;2496329	3;1658329294
17705466;15634589	2;1597471783
15439758;73787186	3;1665206468
17705466;13419679	3;1686921383
17705466;140416372	3;1670418800
15439758;72882555	3;1644203425
17705466;127522207	2;1640165536
15439758;127522207	3;1658458319
17705466;127522207	2;1635854075
15439758;87226759	1;1625715909
15439758;19771358	1;1589100376
17705466;872753	2;1626407085
15439758;94770491	1;1666686945
15439758;52597664	1;1610122371
15439758;4040665	1;1585624925
17705466;46240930	1;1622824892
15439758;162140223	3;1706371711
17705466;14243289	2;1592294158
17705466;4466843	1;1617107742
17705466;3718337	3;1585650334
15439758;170708234	3;1669383884
17705466;16422527	3;1656368576
17705466;108501280	3;1659762333
17705466;85763212	2;1648272339
17705466;12107395	3;1600164276
17705466;48481764	3;1608709142
17705466;56697258	3;1651805874
17705466;148761078	3;1640525842
17705466;50751280	3;1597046096
17705466;71345382	1;1631489051
17705466;71345382	2;1624150693
15439758;101897984	2;1671536847
17705466;65029082	3;1623294899
17705466;65029082	3;1602142266
17705466;27582932	3;1608912441
15439758;262529	3;1620446666
17705466;195859177	3;1629528551
15439758;195859177	3;1650606847
17705466;117254521	3;1660366334
17705466;138226290	3;1646011123
15439758;52789368	1;1640345688
15439758;101782488	3;1647146217
17705466;51215568	3;1610702817
15439758;88911710	1;1679016808
15439758;35191894	3;1577936850
15439758;71907877	2;1609323677
15439758;147920904	1;1678165441
6567641;1061964	3;1530271493
6567641;12567799	3;1602515072
6567641;19759193	3;1602914841
6567641;167503	3;1550204226
6567641;187191937	1;1698672017
6567641;22987272	3;1607218237
6567641;11816048	3;1511171308
6567641;11816048	3;1496618913
6567641;88917364	2;1562288707
6567641;10597626	2;1566738118
6567641;685494	1;1568005630
6567641;3480335	2;1638892891
6567641;630208	2;1568703942
6567641;152447540	3;1604977658
6567641;288988	2;1567923481
6567641;6772417	2;1566019970
6567641;57921974	1;1625671450
6567641;52686890	1;1655181431
6567641;579868	2;1598979375
6567641;253402948	1;1646054484
6567641;36560506	1;1594424043
6567641;11488924	3;1563335006
6567641;3598845	3;1612281023
6567641;17593519	3;1636985139
6567641;184451061	1;1584839759
6567641;15363755	1;1594477356
6567641;88949153	1;1629594971
6567641;59320836	1;1597203069
6567641;34471557	3;1598539351
6567641;59143356	3;1631427922
6567641;213708	2;1594623194
6567641;100989177	3;1637071564
6567641;67316910	3;1595129761
6567641;116410160	1;1682225341
6567641;100931415	3;1678436021
6567641;176906755	2;1655613215
6567641;124767705	3;1640246636
6567641;750581	3;1523537129
6567641;94173463	2;1697820002
6567641;127522207	3;1634618637
6567641;52805061	3;1643347501
6567641;106863965	1;1641865577
6567641;22634336	3;1690726461
6567641;108501280	1;1636905384
6567641;45349384	3;1627178579
6567641;73549953	1;1620841004
6567641;197634261	1;1672531112
6567641;1080024	3;1640787045
6567641;167210780	3;1706310902
6567641;74021318	1;1631367794
6567641;74021318	1;1669868395
6567641;6482399	3;1622118868
6567641;77621608	3;1624684868
6567641;8835160	3;1574815608
6567641;47323979	2;1623303328
6567641;57870427	3;1607179677
6567641;104273019	3;1634139500
6115031;139497039	1;1613980356
6115031;116470661	3;1580436228
6115031;7651293	1;1606893629
6115031;96598025	1;1608562418
6115031;110739477	3;1665340146
6115031;172245	2;1527002427
6115031;14387867	3;1644220623
6115031;27577964	3;1597245865
6115031;102432144	3;1654792137
6115031;162521515	3;1598667645
6115031;161842552	1;1613217760
6115031;895120	3;1517935876
6115031;33494727	3;1644497226
6115031;6774375	1;1588330822
6115031;195919119	2;1520066117
6115031;4701561	3;1616823103
6115031;2130487	1;1641645781
6115031;1085480	3;1589370371
6115031;3598845	1;1586480433
6115031;175952	3;1626337490
6115031;213708	3;1622099065
6115031;24030106	2;1677911776
6115031;115715	1;1629266426
6115031;94173463	3;1676687893
6115031;73787186	1;1662010316
6115031;127522207	2;1649831295
6115031;7644511	1;1560135160
6115031;57325188	1;1644318063
6115031;80628930	2;1636078943
6115031;57350381	2;1628130749
6115031;159004133	3;1645594618
6115031;90985724	3;1635756171
6115031;181379288	3;1674042233
6115031;186088880	2;1659418246
6115031;56697258	3;1650892441
6115031;595727	3;1633778755
6115031;153582	3;1633848118
6115031;153582	3;1598255483
6115031;48592473	3;1599580840
6115031;7833729	1;1638935019
6115031;42230122	3;1641552744
6115031;21031781	1;1599024543
879985;271218085	2;1694828829
879985;32033721	3;1630129015
11199348;1061972	2;1523674328
11199348;107059326	3;1555548964
11199348;9834592	3;1566054143
12263140;105362163	3;1638195675
879985;858830	1;1686922881
11199348;71141571	3;1608963213
12263140;105362061	3;1633969724
12263140;12034875	3;1598015501
1027291;126998622	1;1642071748
879985;5844493	3;1643025099
12263140;74466504	2;1615434523
1027291;23564916	2;1616337432
879985;23564916	1;1661482508
879985;19759193	1;1587043219
879985;19759193	3;1596178873
879985;126129	1;1568889583
1027291;195305643	3;1709131380
11199348;21927345	1;1567514322
12263140;21927345	3;1583291227
12263140;115936088	2;1583171338
1027291;83163480	3;1651932120
11199348;1091712	3;1608122498
12263140;122792	3;1608293176
12263140;187191937	1;1671783261
11199348;70295748	1;1594882815
12263140;76562268	3;1616801381
879985;45171056	1;1595061108
11199348;7250495	2;1567496900
11199348;153845227	3;1653274023
1027291;122794	2;1587630160
11199348;178498367	1;1629716219
879985;161249296	3;1597126871
12263140;76186680	1;1621599842
879985;168280196	1;1547968390
879985;71159587	3;1629710609
11199348;31252906	2;1631245234
12263140;31252906	3;1645892115
11199348;191478226	3;1613363100
11199348;10597626	3;1645830928
11199348;38041516	3;1620460614
11199348;38041516	3;1688733737
11199348;96301631	3;1602673765
12263140;27577964	3;1587205837
12263140;14678376	2;1636438189
1027291;685494	1;1582611505
879985;4534533	3;1640508796
11199348;48962415	3;1611717374
12263140;73102901	3;1640580634
12263140;152447574	3;1614662746
1027291;162521515	2;1527145791
12263140;650009	3;1555591900
879985;3480335	3;1594465332
1027291;41433871	1;1608951622
879985;10908329	3;1570424089
879985;630208	3;1568986726
879985;57588482	1;1621895735
1027291;176129035	1;1660160594
11199348;6774375	3;1621605377
11199348;6774375	1;1620792348
12263140;37535372	1;1593616375
1027291;36626941	3;1596505648
879985;36626941	3;1626013163
1027291;225221807	1;1577726512
1027291;92969	3;1598626903
1027291;30700818	1;1625574812
11199348;4701561	2;1634907046
879985;66512833	2;1621054313
879985;131192684	2;1607425428
11199348;59020032	1;1616248229
11199348;59020032	3;1622691910
12263140;33494722	3;1600951706
11199348;57867026	1;1631600982
11199348;2130493	1;1593085258
1027291;7699063	1;1595302184
1027291;35905856	3;1657210839
11199348;35905856	1;1674136089
1027291;23263659	2;1579000133
1027291;1025034	1;1539093307
1027291;127031395	2;1660182162
879985;127031395	3;1708618123
1027291;37495651	3;1612401957
879985;7699056	1;1612533134
12263140;71999228	1;1631078126
11199348;3598845	1;1595938483
11199348;2130485	2;1650156319
1027291;26670491	3;1611851696
12263140;184451061	3;1596622070
1027291;5199497	3;1597234473
11199348;97556645	1;1587476325
12263140;171545489	3;1589683738
1027291;68347467	2;1680077475
11199348;34471557	1;1615258914
12263140;34471557	3;1610163683
12263140;116410111	3;1650857056
879985;32722882	1;1542076452
12263140;59143356	1;1633820200
11199348;65032427	1;1626271666
1027291;103563999	3;1597439150
11199348;968153	3;1606482148
12263140;115483208	2;1634204226
879985;68370676	1;1644678340
879985;72924802	3;1607936795
11199348;41356465	2;1648305398
1027291;28287069	3;1648481921
1027291;115483205	1;1644854113
879985;21225397	1;1566276343
11199348;21225397	2;1590222349
1027291;73878874	3;1623248918
12263140;26114400	2;1609724400
11199348;7369225	2;1619604096
11199348;7369225	3;1622208334
879985;92859699	3;1626971142
11199348;13443887	3;1644224035
11199348;73787186	2;1614401400
11199348;55708027	1;1635944701
1027291;90622655	3;1632025786
1027291;52788073	3;1608528674
11199348;72882555	3;1611673700
1027291;81323247	3;1634022048
11199348;127522207	1;1657692809
1027291;127522207	2;1629464183
12263140;76776246	2;1638108265
1027291;148802203	1;1650878001
12263140;103379149	3;1647174488
879985;59395317	2;1666363935
1027291;51845987	2;1662960903
11199348;122332293	1;1644645291
11199348;106864424	2;1639830118
1027291;52597664	1;1590207034
12263140;52597664	1;1588584128
879985;106863965	2;1636881544
12263140;190861559	1;1663993021
12263140;195479323	3;1662993835
1027291;971718	3;1588464297
12263140;1362561	1;1581576465
879985;74217683	3;1646968817
12263140;29878198	3;1635567360
1027291;46240930	2;1629080789
11199348;46240930	3;1592660291
879985;54748900	1;1691233989
11199348;54748900	2;1624613597
12263140;162844704	1;1649776586
1027291;162205267	3;1655790552
11199348;45663009	3;1619944397
11199348;185024357	3;1657540525
12263140;185024357	1;1655053162
1027291;238688	3;1596768118
1027291;73921339	1;1632654410
879985;73549953	3;1645452853
12263140;50751280	1;1658988964
12263140;50751280	1;1587960092
12263140;50751280	3;1608279516
11199348;109017987	3;1648182578
11199348;109017987	2;1649596990
1027291;109017987	1;1636429134
12263140;44433399	2;1580360601
11199348;6807851	1;1552733851
879985;6807851	1;1551337998
879985;49022920	2;1639644098
879985;87226757	3;1623143191
879985;3955615	3;1645181808
879985;108261353	2;1664348080
1027291;77621608	3;1664677028
11199348;1471907	3;1613750279
879985;2716249	3;1640516572
879985;50414369	3;1621331473
879985;76013379	1;1621568004
11199348;35191894	3;1632720210
12263140;71907877	3;1647846887
12263140;71907877	3;1613822838
879985;67991601	3;1630107395
11199348;113530807	3;1640948844
12263140;191148796	2;1661064750
12263140;7982627	3;1581429353
776978;160514569	1;1614236693
776978;126709	2;1630879850
776978;23564916	3;1587431831
776978;23564916	3;1596421092
776978;1091712	3;1598501302
398684;31924694	1;1584778447
398684;50632578	2;1599665556
776978;76562268	3;1616472798
776978;11816048	2;1592786482
776978;83483380	3;1596719671
398684;187494221	3;1647607821
398684;96598025	1;1650989338
398684;96598025	1;1558786057
398684;88917364	2;1586772612
398684;71159587	3;1618819268
398684;59401443	3;1602242825
398684;165045991	1;1679917446
776978;38041516	1;1657708894
398684;134465506	3;1591134341
398684;96301631	2;1602507943
776978;107482	3;1613938455
398684;48962415	3;1707244462
398684;1734987	3;1584723499
776978;152447574	2;1636260598
398684;161842552	3;1606375589
398684;16654647	3;1644386598
398684;3071303	3;1606389683
776978;22095576	3;1606632046
776978;105591	1;1617426701
398684;630208	1;1647681400
776978;48537881	3;1612092687
776978;38572025	3;1611285021
398684;205961375	3;1599703184
398684;36626941	1;1599730488
776978;36626941	1;1634866390
398684;36626941	3;1600943883
776978;94561438	1;1620044607
398684;14767922	3;1606988146
398684;36627518	1;1632992033
398684;63369	3;1590033839
776978;57921974	3;1597411133
776978;4701561	1;1581572499
398684;2138527	3;1611622451
776978;66512833	3;1635340855
776978;69461785	3;1680186555
776978;1908443	2;1601958237
776978;8680463	1;1649424481
398684;131192881	1;1618322241
776978;3482355	2;1544410220
398684;57867026	1;1626326868
776978;145696370	3;1648175675
398684;2130493	3;1555679914
