8391901;89179375	5;1671029585
8391901;20459384	5;1615810304
8391901;57761619	5;1614245449
8391901;57761619	5;1614245449
8391901;77621608	5;1671029542
8391901;191045566	5;1662377715
8391901;57870427	5;1672731510
8391901;7718738	5;1663652206
8391901;189350065	5;1658221548
8391901;189350065	5;1658221548
8391901;77105731	5;1613663290
8391901;147920904	5;1641274413
26835881;59262881	5;1664808084
26835881;104074998	5;1661618153
26835881;124767705	4;1677045427
26835881;100947275	5;1680243841
26835881;192125807	5;1670384565
26835881;179063955	5;1664120171
26835881;94173463	5;1676827253
26835881;50475522	5;1664808062
26835881;52788073	5;1666886687
26835881;164091968	5;1677685050
26835881;95311764	5;1687495973
26835881;115078654	5;1676081045
26835881;57325188	5;1669650506
26835881;111285063	5;1667704703
26835881;112331978	5;1672535346
26835881;124767713	5;1677045432
26835881;168293267	5;1665660229
26835881;165711007	5;1677045434
26835881;5154513	5;1673321860
26835881;155463026	5;1660872366
26835881;626888	5;1668949673
26835881;194205625	5;1670824483
26835881;16284287	5;1685710595
26835881;187338037	5;1665660235
26835881;162844704	5;1673687895
26835881;100958445	5;1658563659
26835881;45902242	5;1658563670
26835881;178483640	5;1654664332
26835881;187827005	5;1680243853
26835881;168283407	5;1665660237
26835881;3644269	5;1677685047
26835881;19792257	5;1685710635
26835881;72001058	5;1665660240
26835881;74021318	5;1670824489
26835881;74460138	5;1663050039
26835881;49022920	5;1671014237
26835881;80463	5;1667704699
26835881;108261353	5;1660991859
26835881;130996083	5;1672535380
26835881;58444775	5;1665995407
26835881;76105911	5;1668124906
26835881;192339429	5;1673321825
26835881;56218386	5;1668611620
26835881;58828013	5;1657940474
26835881;58828013	5;1657940474
26835881;67991601	5;1677685043
26835881;113530807	5;1685710630
684590;123547399	5;1638155051
684590;32033721	5;1638758098
684590;32033721	5;1611394894
684590;71523845	5;1641869993
684590;12567799	5;1626504984
684590;116470661	4;1564237386
684590;14387867	5;1628336272
684590;10597626	5;1636790182
684590;68241924	5;1636262174
684590;96301631	5;1636262204
684590;102432144	5;1635343494
684590;112694372	5;1638196262
684590;152447554	5;1638514989
684590;152447554	5;1638514989
684590;152447540	5;1638515109
684590;2393141	5;1638515057
684590;57921974	5;1638196226
684590;57694140	5;1636460255
684590;152447585	5;1628254317
684590;87107068	5;1636121983
684590;73325953	5;1614337274
684590;94561382	5;1628394408
684590;1661971	5;1636359092
684590;58804369	5;1636359686
684590;2130485	5;1599374650
684590;75025561	5;1639050974
684590;26114400	5;1584372494
684590;189643110	5;1664198879
684590;3304877	5;1598347628
684590;77900447	5;1638420627
684590;127522207	5;1652153392
684590;77230664	5;1639893904
684590;74616449	5;1638196196
